Tarih,Saat,Ders Adı,Sınıf
23.03.2026 Pazartesi,09.10 - 09.50,Tarih,9/A ELK S (1)
23.03.2026 Pazartesi,09.10 - 09.50,Tarih,9/A ELK (2)
23.03.2026 Pazartesi,09.10 - 09.50,Tarih,9/B ELK (7)
23.03.2026 Pazartesi,09.10 - 09.50,Tarih,9/A BİL (3)
23.03.2026 Pazartesi,09.10 - 09.50,Tarih,9/B BİL (4)
23.03.2026 Pazartesi,09.10 - 09.50,Tarih,9/A MAK (5)
23.03.2026 Pazartesi,09.10 - 09.50,Tarih,9/E MAK (6)
23.03.2026 Pazartesi,10.20 - 11.00,S. Temel Dini Bilgiler,9/A ELK S (1)
23.03.2026 Pazartesi,10.20 - 11.00,S. Temel Dini Bilgiler,9/A ELK (2)
23.03.2026 Pazartesi,10.20 - 11.00,S. Temel Dini Bilgiler,9/B ELK (ELK L)
23.03.2026 Pazartesi,10.20 - 11.00,S. Temel Dini Bilgiler,9/A BİL (3)
23.03.2026 Pazartesi,10.20 - 11.00,S. Temel Dini Bilgiler,9/B BİL (4)
23.03.2026 Pazartesi,10.20 - 11.00,S. Temel Dini Bilgiler,9/A MAK (5)
23.03.2026 Pazartesi,10.20 - 11.00,S. Temel Dini Bilgiler,9/E MAK (6)
24.03.2026 Salı,09.10 - 09.50,Fizik,9/A ELK S (1)
24.03.2026 Salı,09.10 - 09.50,Fizik,9/A ELK (2)
24.03.2026 Salı,09.10 - 09.50,Fizik,9/B ELK (7)
24.03.2026 Salı,09.10 - 09.50,Fizik,9/A BİL (3)
24.03.2026 Salı,09.10 - 09.50,Fizik,9/B BİL (4)
24.03.2026 Salı,09.10 - 09.50,Fizik,9/A MAK (5)
24.03.2026 Salı,09.10 - 09.50,Fizik,9/E MAK (6)
25.03.2026 Çarşamba,09.10 - 09.50,Coğrafya,9/A ELK S (1)
25.03.2026 Çarşamba,09.10 - 09.50,Coğrafya,9/A ELK (2)
25.03.2026 Çarşamba,09.10 - 09.50,Coğrafya,9/B ELK (7)
25.03.2026 Çarşamba,09.10 - 09.50,Coğrafya,9/A BİL (3)
25.03.2026 Çarşamba,09.10 - 09.50,Coğrafya,9/B BİL (4)
25.03.2026 Çarşamba,09.10 - 09.50,Coğrafya,9/A MAK (5)
25.03.2026 Çarşamba,09.10 - 09.50,Coğrafya,9/E MAK (6)
25.03.2026 Çarşamba,10.20 - 11.00,Din Kültürü ve Ahlak Bilgisi,9/A ELK S (1)
25.03.2026 Çarşamba,10.20 - 11.00,Din Kültürü ve Ahlak Bilgisi,9/A ELK (2)
25.03.2026 Çarşamba,10.20 - 11.00,Din Kültürü ve Ahlak Bilgisi,9/B ELK (7)
25.03.2026 Çarşamba,10.20 - 11.00,Din Kültürü ve Ahlak Bilgisi,9/A BİL (3)
25.03.2026 Çarşamba,10.20 - 11.00,Din Kültürü ve Ahlak Bilgisi,9/B BİL (4)
25.03.2026 Çarşamba,10.20 - 11.00,Din Kültürü ve Ahlak Bilgisi,9/A MAK (5)
25.03.2026 Çarşamba,10.20 - 11.00,Din Kültürü ve Ahlak Bilgisi,9/E MAK (6)
26.03.2026 Perşembe,09.10 - 09.50,Biyoloji,9/A ELK S (1)
26.03.2026 Perşembe,09.10 - 09.50,Biyoloji,9/A ELK (2)
26.03.2026 Perşembe,09.10 - 09.50,Biyoloji,9/B ELK (7)
26.03.2026 Perşembe,09.10 - 09.50,Biyoloji,9/A BİL (3)
26.03.2026 Perşembe,09.10 - 09.50,Biyoloji,9/B BİL (4)
26.03.2026 Perşembe,09.10 - 09.50,Biyoloji,9/A MAK (5)
26.03.2026 Perşembe,09.10 - 09.50,Biyoloji,9/E MAK (6)
26.03.2026 Perşembe,10.20 - 11.00,İngilizce,9/A ELK S (1)
26.03.2026 Perşembe,10.20 - 11.00,İngilizce,9/A ELK (2)
26.03.2026 Perşembe,10.20 - 11.00,İngilizce,9/B ELK (ELK L)
26.03.2026 Perşembe,10.20 - 11.00,İngilizce,9/A BİL (3)
26.03.2026 Perşembe,10.20 - 11.00,İngilizce,9/B BİL (4)
26.03.2026 Perşembe,10.20 - 11.00,İngilizce,9/A MAK (5)
26.03.2026 Perşembe,10.20 - 11.00,İngilizce,9/E MAK (6)
27.03.2026 Cuma,09.10 - 09.50,Kimya,9/A ELK S (ELK L)
27.03.2026 Cuma,09.10 - 09.50,Kimya,9/A ELK (2)
27.03.2026 Cuma,09.10 - 09.50,Kimya,9/B ELK (7)
27.03.2026 Cuma,09.10 - 09.50,Kimya,9/A BİL (BİL L)
27.03.2026 Cuma,09.10 - 09.50,Kimya,9/B BİL (4)
27.03.2026 Cuma,09.10 - 09.50,Kimya,9/A MAK (L)
27.03.2026 Cuma,09.10 - 09.50,Kimya,9/E MAK (6)
27.03.2026 Cuma,10.20 - 11.00,Mesleki Gelişim Atölyesi,9/A ELK S (ELK L)
27.03.2026 Cuma,10.20 - 11.00,Mesleki Gelişim Atölyesi,9/A ELK (2)
27.03.2026 Cuma,10.20 - 11.00,Mesleki Gelişim Atölyesi,9/B ELK (7)
27.03.2026 Cuma,10.20 - 11.00,Mesleki Gelişim Atölyesi,9/A BİL (BİL L)
27.03.2026 Cuma,10.20 - 11.00,Mesleki Gelişim Atölyesi,9/B BİL (4)
27.03.2026 Cuma,10.20 - 11.00,Mesleki Gelişim Atölyesi,9/A MAK (L)
27.03.2026 Cuma,10.20 - 11.00,Mesleki Gelişim Atölyesi,9/E MAK (6)
30.03.2026 Pazartesi,09.10 - 09.50,Türk Dili ve Edebiyatı,9/A ELK S (1)
30.03.2026 Pazartesi,09.10 - 09.50,Türk Dili ve Edebiyatı,9/A ELK (L)
30.03.2026 Pazartesi,09.10 - 09.50,Türk Dili ve Edebiyatı,9/B ELK (7)
30.03.2026 Pazartesi,09.10 - 09.50,Türk Dili ve Edebiyatı,9/A BİL (3)
30.03.2026 Pazartesi,09.10 - 09.50,Türk Dili ve Edebiyatı,9/B BİL (L)
30.03.2026 Pazartesi,09.10 - 09.50,Türk Dili ve Edebiyatı,9/A MAK (5)
30.03.2026 Pazartesi,09.10 - 09.50,Türk Dili ve Edebiyatı,9/E MAK (L)
30.03.2026 Pazartesi,10.20 - 11.00,Türk Sosyal Hayatında Aile,9/A ELK S (1)
30.03.2026 Pazartesi,10.20 - 11.00,Türk Sosyal Hayatında Aile,9/A ELK (2)
30.03.2026 Pazartesi,10.20 - 11.00,Türk Sosyal Hayatında Aile,9/B ELK (L)
30.03.2026 Pazartesi,10.20 - 11.00,Türk Sosyal Hayatında Aile,9/A BİL (3)
30.03.2026 Pazartesi,10.20 - 11.00,Türk Sosyal Hayatında Aile,9/B BİL (4)
30.03.2026 Pazartesi,10.20 - 11.00,Türk Sosyal Hayatında Aile,9/A MAK (5)
30.03.2026 Pazartesi,10.20 - 11.00,Türk Sosyal Hayatında Aile,9/E MAK (6)
31.03.2026 Salı,09.10 - 09.50,Matematik,9/A ELK S (1)
31.03.2026 Salı,09.10 - 09.50,Matematik,9/A ELK (2)
31.03.2026 Salı,09.10 - 09.50,Matematik,9/B ELK (L)
31.03.2026 Salı,09.10 - 09.50,Matematik,9/A BİL (3)
31.03.2026 Salı,09.10 - 09.50,Matematik,9/B BİL (4)
31.03.2026 Salı,09.10 - 09.50,Matematik,9/A MAK (5)
31.03.2026 Salı,09.10 - 09.50,Matematik,9/E MAK (6)
31.03.2026 Salı,10.20 - 11.00,S. Demokrasi ve İnsan Hakları,9/A ELK S (1)
31.03.2026 Salı,10.20 - 11.00,S. Demokrasi ve İnsan Hakları,9/A ELK (2)
31.03.2026 Salı,10.20 - 11.00,S. Demokrasi ve İnsan Hakları,9/B ELK (7)
31.03.2026 Salı,10.20 - 11.00,S. Demokrasi ve İnsan Hakları,9/A BİL (3)
31.03.2026 Salı,10.20 - 11.00,S. Demokrasi ve İnsan Hakları,9/B BİL (4)
31.03.2026 Salı,10.20 - 11.00,S. Demokrasi ve İnsan Hakları,9/A MAK (5)
31.03.2026 Salı,10.20 - 11.00,S. Demokrasi ve İnsan Hakları,9/E MAK (6)